,type,annulus_width,devices_set_1,devices_set_2,dr_set_1,dr_set_2,mod_set_1,mod_set_2,cr_set_1,cr_set_2,tx_pkts_mean_set_1,tx_pkts_std_set_1,tx_pkts_mean_set_2,tx_pkts_std_set_2,rx_pkts_mean_set_1,rx_pkts_std_set_1,rx_pkts_mean_set_2,rx_pkts_std_set_2,payload_size
99,DISTANCE,0,50,300,2,3,CSS,CSS,0.8,0.8,6292.533333333334,67.20800216905391,75819.63333333333,261.9649446437867,135.83333333333334,12.393770836817806,429.6666666666667,23.416992880290067,10
100,DISTANCE,0,50,1,2,4,CSS,CSS,0.8,0.8,6284.2,98.71723929149019,505.96666666666664,22.922308396455673,2681.7,45.56105793328333,305.43333333333334,22.028289891763173,10
101,DISTANCE,0,50,10,2,4,CSS,CSS,0.8,0.8,6274.766666666666,77.05482175409632,5056.233333333334,74.00165914055951,2463.133333333333,49.561230367652854,2620.0666666666666,60.145342481544006,10
102,DISTANCE,0,50,50,2,4,CSS,CSS,0.8,0.8,6293.466666666666,78.09213931134312,25216.966666666667,161.74166301715695,1624.7,30.150898272964717,6757.066666666667,91.9854819462772,10
103,DISTANCE,0,50,100,2,4,CSS,CSS,0.8,0.8,6273.966666666666,84.03867495914538,50587.63333333333,284.08138309685523,978.9666666666667,28.27541138319457,5917.766666666666,54.652650642235294,10
104,DISTANCE,0,50,300,2,4,CSS,CSS,0.8,0.8,6283.233333333334,74.09034275051565,151465.73333333334,354.1856324333643,138.93333333333334,8.326397113331126,743.1666666666666,28.770451662928213,10
105,DISTANCE,0,50,1,2,5,CSS,CSS,0.8,0.8,6273.5,103.72584056058548,886.5333333333333,25.445016975606222,2694.4333333333334,51.559469439559685,536.2666666666667,19.076920319823348,10
106,DISTANCE,0,50,10,2,5,CSS,CSS,0.8,0.8,6298.566666666667,70.29826139781521,8856.233333333334,80.42333133004516,2466.133333333333,36.73212339205139,4599.633333333333,64.3865841788662,10
107,DISTANCE,0,50,50,2,5,CSS,CSS,0.8,0.8,6293.6,78.21321286500553,44348.9,186.60213467875084,1619.5,29.43891981714003,11652.233333333334,93.63926645495586,10
108,DISTANCE,0,50,100,2,5,CSS,CSS,0.8,0.8,6280.266666666666,72.25968600971238,88636.33333333333,322.8315694324553,977.4666666666667,30.174750298147547,9974.766666666666,124.47320550579909,10
109,DISTANCE,0,50,300,2,5,CSS,CSS,0.8,0.8,6293.966666666666,86.87480775358425,266058.36666666664,456.6688430605073,132.9,10.0311182493944,1128.6666666666667,40.59830319388019,10
110,DISTANCE,0,50,1,2,8,CSS,FHSS,0.8,0.3333333333333333,6295.866666666667,58.02225626621411,14.533333333333333,4.063933507767512,2675.866666666667,28.04369606326686,13.2,3.7982452088650973,10
111,DISTANCE,0,50,10,2,8,CSS,FHSS,0.8,0.3333333333333333,6305.9,77.0421313308504,145.03333333333333,11.43819138772482,2557.6,38.297606539660755,132.2,11.166616915312057,10
112,DISTANCE,0,50,50,2,8,CSS,FHSS,0.8,0.3333333333333333,6306.7,76.09693379718617,716.2,25.96587504142055,2070.733333333333,45.01180092178297,655.3333333333334,25.05238955114307,10
113,DISTANCE,0,50,100,2,8,CSS,FHSS,0.8,0.3333333333333333,6267.7,89.87478326353096,1425.8333333333333,38.29019311636975,1599.4666666666667,48.979406103200375,1303.6333333333334,36.66468176445677,10
114,DISTANCE,0,50,300,2,8,CSS,FHSS,0.8,0.3333333333333333,6281.5,74.2319562811956,4295.866666666667,60.02595734809696,562.6333333333333,26.241802952964612,3914.766666666667,58.151344686850436,10
115,DISTANCE,0,50,1,2,9,CSS,FHSS,0.8,0.6666666666666666,6289.433333333333,74.60146706928015,32.666666666666664,5.172577264338886,2670.866666666667,39.83108780281497,26.266666666666666,5.227703978697425,10
116,DISTANCE,0,50,10,2,9,CSS,FHSS,0.8,0.6666666666666666,6296.666666666667,73.88835421694606,336.26666666666665,16.560864174982605,2498.2,47.12706228909245,274.73333333333335,14.760156578513056,10
117,DISTANCE,0,50,50,2,9,CSS,FHSS,0.8,0.6666666666666666,6303.833333333333,93.951790237807,1694.5666666666666,38.20181787413904,1870.8,33.922853653547484,1374.8333333333333,33.11503518880141,10
118,DISTANCE,0,50,100,2,9,CSS,FHSS,0.8,0.6666666666666666,6290.066666666667,88.67127807557279,3366.8,54.64637834904219,1296.0,31.989581637360207,2728.3,54.93945152013563,10
119,DISTANCE,0,50,300,2,9,CSS,FHSS,0.8,0.6666666666666666,6284.333333333333,85.04600062449863,10113.433333333332,123.94022304679336,307.43333333333334,16.44522896026551,8155.833333333333,113.29756788602695,10
