,Unnamed: 0,dev_id,set,modulation,pkt_sent,pkt_lost,pkt_rx_power,pos_x,pos_y,pos_z
131,131,131,2,FHSS,16,1,-102.91940204653584,672499.7971972832,698655.5418876619,0
132,132,132,2,FHSS,12,3,-117.59498891498782,588747.7881275325,717119.20494528,0
133,133,133,2,FHSS,13,1,-103.94872922441212,685086.849672694,668148.3921822924,0
134,134,134,2,FHSS,17,3,-95.189639448878,682156.9385249096,686244.126879459,0
135,135,135,2,FHSS,15,1,-114.90200932194728,763993.0707591181,706762.5470168622,0
136,136,136,2,FHSS,13,3,-110.43454624665983,643738.5047407093,686226.8977272917,0
137,137,137,2,FHSS,17,4,-111.15333271665668,687135.8086378986,739092.1881554066,0
138,138,138,2,FHSS,20,3,-95.0686567359292,692833.4164791899,682395.5620027023,0
139,139,139,2,FHSS,15,2,-113.05306677236538,681479.5671454729,750792.5615631089,0
140,140,140,2,FHSS,11,3,-114.64672451380304,698671.3514447834,615633.8159015961,0
141,141,141,2,FHSS,18,4,-106.10728870449208,711006.5691695686,706947.8053537335,0
142,142,142,2,FHSS,9,3,-117.50387522039831,586516.46694332,698750.598334244,0
143,143,143,2,FHSS,13,3,-100.39882933471468,689226.5510566091,703828.3752776985,0
144,144,144,2,FHSS,15,2,-114.73779845994127,665092.556740228,618315.2399222798,0
145,145,145,2,FHSS,16,4,-98.49152459993408,677877.2333552609,690398.2996344607,0
146,146,146,2,FHSS,11,3,-109.418453932968,654388.1890108819,668620.4197891379,0
147,147,147,2,FHSS,12,0,-105.25969513965592,679407.6409383509,712576.1848818521,0
148,148,148,2,FHSS,18,3,-100.85128123371952,677438.4088708436,680063.3327056284,0
149,149,149,2,FHSS,18,3,-98.7423806022159,701166.4363854862,691355.3194658507,0
150,150,150,2,FHSS,19,0,-116.8650859341978,614135.1343989386,748975.9916415717,0
151,151,151,2,FHSS,12,3,-97.19127800880496,680683.30797428,684598.5991211439,0
152,152,152,2,FHSS,15,3,-115.03441735928747,646731.8215130932,754400.0065004047,0
153,153,153,2,FHSS,12,2,-88.55041150213003,685914.1568365605,690575.1630133502,0
154,154,154,2,FHSS,10,1,-111.0913397616394,645418.3436997341,666983.6134745018,0
155,155,155,2,FHSS,13,2,-115.46086381893502,761744.6256053555,727313.9671005696,0
156,156,156,2,FHSS,19,2,-117.208348677832,616067.4678547748,621639.1165672841,0
157,157,157,2,FHSS,15,3,-116.43414691316868,598878.9472765818,701575.110993021,0
158,158,158,2,FHSS,13,4,-115.27987394216012,768502.6186901149,677532.5554885971,0
159,159,159,2,FHSS,15,0,-106.27289260851272,669844.9086491339,709933.0983477478,0
160,160,160,2,FHSS,16,2,-114.69882206102776,754440.3426730497,652441.630669751,0
161,161,161,2,FHSS,16,3,-116.2272265225933,621914.2997421168,631101.6229204616,0
162,162,162,2,FHSS,23,4,-99.27956976926076,702017.7135986566,688094.0397534809,0
163,163,163,2,FHSS,14,4,-113.12175670683108,715172.8857095039,746226.4658588351,0
164,164,164,2,FHSS,10,4,-114.86515809417398,622597.2426962571,726152.5250339538,0
165,165,165,2,FHSS,21,3,-117.00232431056976,594433.7937763457,667284.0203542309,0
166,166,166,2,FHSS,11,0,-98.69214206529388,687763.1158916972,701142.2534597401,0
167,167,167,2,FHSS,10,2,-109.7999936140394,701362.4270415362,648565.7274408177,0
168,168,168,2,FHSS,23,5,-102.69931079634247,703753.965579547,677271.2146483168,0
169,169,169,2,FHSS,15,3,-107.86373276375885,691388.5140536278,723407.4387225042,0
170,170,170,2,FHSS,12,2,-101.39902196487571,673249.018942203,690136.215462194,0
171,171,171,2,FHSS,18,3,-106.92335104475252,671916.7024177695,664354.276359553,0
172,172,172,2,FHSS,14,1,-98.08584129301144,685664.4890509524,699804.0550601932,0
173,173,173,2,FHSS,12,2,-108.9385199838916,652558.7739358428,678132.3542848816,0
174,174,174,2,FHSS,12,2,-112.98921695847916,635280.384114394,718472.5678089383,0
175,175,175,2,FHSS,13,7,-91.25663224443755,686914.2047107606,693780.8223622505,0
176,176,176,2,FHSS,15,4,-109.11584942032604,668534.1923883749,722747.9984532151,0
177,177,177,2,FHSS,15,3,-108.35701830963608,653747.1602406704,694631.1298848228,0
178,178,178,2,FHSS,18,5,-115.71666964400144,648588.9434372573,762942.9538112428,0
179,179,179,2,FHSS,22,3,-96.58041196354026,688620.4514151112,698666.983721732,0
180,180,180,2,FHSS,15,1,-114.336858620327,660507.386640085,623740.0439757952,0
181,181,181,2,FHSS,13,2,-115.0512540186632,612402.5241636082,677652.6472229683,0
182,182,182,2,FHSS,19,3,-116.86104158647606,653122.4292214378,778231.0815517714,0
183,183,183,2,FHSS,18,2,-104.39659922244694,675632.5581288902,707634.4576358021,0
184,184,184,2,FHSS,12,1,-115.23900535249784,632791.6148228045,745365.5810360536,0
185,185,185,2,FHSS,15,1,-114.60818273132509,762596.808282235,678283.7557451396,0
186,186,186,2,FHSS,19,4,-106.70613065027332,700960.2210028991,716887.2448866515,0
187,187,187,2,FHSS,11,3,-115.4362997940477,767131.5248970994,713715.2304245031,0
188,188,188,2,FHSS,15,5,-107.04450157590507,714133.582433278,708095.2787525253,0
189,189,189,2,FHSS,13,2,-108.63490115325128,702154.5706351857,654445.2417390575,0
190,190,190,2,FHSS,13,7,-117.1051323594366,763738.372174232,754322.7229879247,0
191,191,191,2,FHSS,16,3,-115.42599766625634,620570.6429320605,646092.7667994536,0
192,192,192,2,FHSS,14,1,-90.28813495940842,693839.5119707901,690220.050091779,0
